BJDtcb1 BJDtcb2 BJDtdb1 BJDtdb2 RvTot ZB
2443366 0.376404942424882 2443366 0.376401501435038 -4089.03080467949 1.36395386060029e-05
2443376 0.375686726396116 2443376 0.37568313036543 -3652.66330506004 1.21839733041584e-05
2443386 0.374965696305157 2443386 0.374961945233675 -3839.05400774939 1.28057057651176e-05
2443396 0.374261893149288 2443396 0.374257987036741 -4621.51789055611 1.54157243360542e-05
2443406 0.373595895982066 2443406 0.373591834827869 -6037.62319294433 2.01393431750185e-05
2443416 0.372987920702393 2443416 0.372983704505646 -8016.86171362732 2.6741372238348e-05
2443426 0.372455563112694 2443426 0.372451191872224 -10512.948021253 3.50674199457446e-05
2443436 0.372015753751884 2443436 0.372011227466257 -13498.2471999899 4.50253061402561e-05
2443446 0.371682498093956 2443446 0.371677816761519 -16837.1422502703 5.61626612043398e-05
2443456 0.37146611117956 2443456 0.371461274798501 -20464.0988085785 6.82608860312905e-05
2443466 0.371374772650465 2443466 0.371369781218847 -24282.0022234807 8.09960410127486e-05
2443476 0.371411730329831 2443476 0.371406583845663 -28126.2488071783 9.38190673468453e-05
2443486 0.371576352853161 2443486 0.371571051314463 -31922.0281549269 0.000106480424383881
2443496 0.371864815646629 2443496 0.371859359051482 -35527.5939128593 0.000118507297181103
2443506 0.372267867356994 2443506 0.372262255703621 -38803.4033332941 0.000129434221234792
2443516 0.372784977036075 2443516 0.372779210322707 -41689.1097911849 0.00013905990187113
2443526 0.373377720152088 2443526 0.373371798377552 -44047.1219215776 0.000146925383698537
2443536 0.37403843338367 2443536 0.374032356546914 -45813.3664211494 0.000152816941182521
2443546 0.374747083505972 2443546 0.374740851606251 -46965.2584391841 0.000156659239370138
2443556 0.375481631323039 2443556 0.375475244359952 -47418.6674532711 0.000158171649045524
2443566 0.37621894174791 2443566 0.376212399721413 -47204.6015251227 0.000157457601969169
2443576 0.37693733045391 2443576 0.376930633364298 -46342.3511192383 0.000154581444204438
2443586 0.377614807428455 2443586 0.377607955276362 -44826.6162322992 0.000149525496843217
2443596 0.378231309611245 2443596 0.378224302397616 -42763.6383691689 0.000142644143399928
2443606 0.378769693825645 2443606 0.378762531551692 -40198.4023789855 0.000134087437179575
2443616 0.379214067513191 2443616 0.379206750180371 -37200.1867738954 0.000124086466424367
2443626 0.379552560434408 2443626 0.379545088044362 -33907.3768224148 0.000113102834703116
2443636 0.379776513726459 2443636 0.379768886280964 -30370.9375879112 0.000101306543168311
2443646 0.379879632784392 2443646 0.379871850285322 -26710.7749561869 8.90975548030193e-05
2443656 0.379860389053892 2443656 0.379852451503143 -23054.2785137012 7.69007955286893e-05
2443666 0.379719842675584 2443666 0.379711750075038 -19449.7949763103 6.4877532630625e-05
2443676 0.379462074505069 2443676 0.379453826856543 -16035.9152181444 5.34900555041462e-05
2443686 0.379095437521849 2443686 0.379087034827031 -12899.3651261004 4.30276505691829e-05
2443696 0.378629872258625 2443696 0.378621314519049 -10087.5714387033 3.3648516396978e-05
2443706 0.378078507923127 2443706 0.378069795140123 -7725.18163334697 2.57684322176877e-05
2443716 0.377457333286883 2443716 0.377448465461534 -5844.30427719048 1.94945006828373e-05
2443726 0.376782944788636 2443726 0.376773921921767 -4492.23395872666 1.49844795586107e-05
2443736 0.37607465288618 2443736 0.376065474978316 -3749.82446017512 1.25080680321021e-05
2443746 0.375352619956171 2443746 0.375343287007526 -3593.48470283999 1.19865747351122e-05
2443756 0.374636755196601 2443756 0.374627267207078 -4060.61985910485 1.35447698924596e-05
2443766 0.37394840513466 2443766 0.373938762103833 -5163.76565318515 1.72244681792e-05
2443776 0.373307489391093 2443776 0.373297691318228 -6831.95290029696 2.27889418762395e-05
2443786 0.372732818590161 2443786 0.372722865474228 -9072.82436691718 3.02636845084248e-05
2443796 0.372242619495154 2443796 0.372232511334846 -11817.4397505013 3.94187359793463e-05
2443806 0.371851575635084 2443806 0.371841312428862 -14962.9046205186 4.99108774127954e-05
2443816 0.371572359989318 2443816 0.371561941735449 -18469.6103906796 6.16079887862941e-05
2443826 0.371414773785981 2443826 0.371404200482578 -22195.9327030733 7.40376620917971e-05
2443836 0.371383745692623 2443836 0.371373017337725 -26030.3204844627 8.68278030011771e-05
2443846 0.371481517654698 2443846 0.371470634246307 -29887.5607329153 9.9694171535547e-05
2443856 0.371705797706153 2443856 0.371694759242307 -33592.4719937633 0.000112052425260689
2443866 0.37204954814915 2443866 0.372038354627997 -37056.1539467429 0.000123606024627687
